Watcher ,videoCategoryId,videoCategoryLabel,definition
Billy,29.0,Nonprofits & Activism,hd
Leila,22.0,People & Blogs,sd
Billy,22.0,People & Blogs,sd
Mark,24.0,Entertainment,hd
Billy,24.0,Entertainment,hd
Jane,24.0,Entertainment,hd
Babs,22.0,People & Blogs,hd
Jeff,25.0,News & Politics,hd
Leila,28.0,Science & Technology,hd
Jane,27.0,Education,hd
Naomy,22.0,People & Blogs,hd
Jane,24.0,Entertainment,sd
Mark,22.0,People & Blogs,sd
Flo,28.0,Science & Technology,sd
Phoebe,28.0,Science & Technology,sd
Jeff,28.0,Science & Technology,sd
Leila,29.0,Nonprofits & Activism,sd
Mark,29.0,Nonprofits & Activism,hd
Rachel,22.0,People & Blogs,hd
Naomy,10.0,Music,hd
Marie,24.0,Entertainment,hd
Ross,25.0,News & Politics,hd
Adam,22.0,People & Blogs,hd
Ben,22.0,People & Blogs,sd
Phoebe,22.0,People & Blogs,hd
Marie,22.0,People & Blogs,hd
Brad,10.0,Music,sd
Jess,24.0,Entertainment,hd
Jeff,24.0,Entertainment,hd
Mark,27.0,Education,hd
Brad,28.0,Science & Technology,sd
Ross,27.0,Education,hd
Cyrus,28.0,Science & Technology,sd
Monica,28.0,Science & Technology,sd
Joey,25.0,News & Politics,hd
Mark,22.0,People & Blogs,hd
Leila,1.0,Film & Animation,hd
Naomy,22.0,People & Blogs,hd
Jeff,25.0,News & Politics,hd
Sloane,29.0,Nonprofits & Activism,hd
Sloane,22.0,People & Blogs,hd
Jeff,27.0,Education,hd
Brad,22.0,People & Blogs,hd
Jeff,28.0,Science & Technology,sd
Rachel,28.0,Science & Technology,hd
Natoo,17.0,Sports,hd
Ze,28.0,Science & Technology,sd
Sloane,28.0,Science & Technology,hd
Natoo,22.0,People & Blogs,hd
Rachel,28.0,Science & Technology,sd
Jess,25.0,News & Politics,hd
Ze,22.0,People & Blogs,hd
Liza,22.0,People & Blogs,hd
Ibra,22.0,People & Blogs,hd
Ibra,22.0,People & Blogs,sd
Naomy,28.0,Science & Technology,hd
Jeff,20.0,Gaming,hd
Mark,29.0,Nonprofits & Activism,hd
Leila,23.0,Comedy,sd
Natoo,28.0,Science & Technology,sd
Bob,22.0,People & Blogs,hd
Liza,27.0,Education,hd
Natoo,27.0,Education,hd
Natoo,29.0,Nonprofits & Activism,sd
Natoo,25.0,News & Politics,sd
Kat,22.0,People & Blogs,sd
Kat,28.0,Science & Technology,sd
Kat,28.0,Science & Technology,hd
Brad,22.0,People & Blogs,hd
Brad,29.0,Nonprofits & Activism,hd
Jess,28.0,Science & Technology,sd
Joey,22.0,People & Blogs,hd
Ibra,22.0,People & Blogs,hd
Bob,28.0,Science & Technology,hd
Ibra,22.0,People & Blogs,hd
Chandler,28.0,Science & Technology,sd
Alex,22.0,People & Blogs,hd
Alex,22.0,People & Blogs,sd
Jack,28.0,Science & Technology,hd
Jack,22.0,People & Blogs,sd
Jack,28.0,Science & Technology,hd
Naomy,29.0,Nonprofits & Activism,hd
Ibra,22.0,People & Blogs,hd
Penny,22.0,People & Blogs,hd
Squeezy,29.0,Nonprofits & Activism,hd
Joey,24.0,Entertainment,hd
Sheldon,28.0,Science & Technology,hd
Sheldon,22.0,People & Blogs,sd
Billy,28.0,Science & Technology,hd
Leonard,22.0,People & Blogs,hd
Amy,22.0,People & Blogs,sd
Squeezy,28.0,Science & Technology,sd
Howard,22.0,People & Blogs,sd
Radjesh,28.0,Science & Technology,hd
Seb,28.0,Science & Technology,hd
Seb,28.0,Science & Technology,hd
Radjesh,22.0,People & Blogs,sd
Squeezy,28.0,Science & Technology,hd
Squeezy,22.0,People & Blogs,hd
Sloane,22.0,People & Blogs,hd
Mark,28.0,Science & Technology,hd
Brad,22.0,People & Blogs,hd
Bob,27.0,Education,sd
Jess,29.0,Nonprofits & Activism,hd
Loan,22.0,People & Blogs,sd
Clark,22.0,People & Blogs,hd
Loan,22.0,People & Blogs,hd
Jeff,24.0,Entertainment,hd
Billy,26.0,Howto & Style,sd
Clark,28.0,Science & Technology,hd
Billy,24.0,Entertainment,sd
Squeezy,27.0,Education,hd
